analysis_subset,condition,base_condition,representation_budget,future_horizon,true_future_turn_move_label,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
full,raw_history_b256,raw_history,256,1,Assert / Elaborate,161,0.5626293995859214,0.5455557419743268,0.5811640387301112,False,24,0.12732919254658384,0.08874559589460783,0.16496711267288375,False
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,Assert / Elaborate,160,0.5588541666666667,0.5429108796296297,0.5763929263565892,False,24,0.11875,0.08397309711286091,0.15586454199735453,False
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,Assert / Elaborate,160,0.5407552083333333,0.5270312875781626,0.555452524449235,False,24,0.08359375,0.0547191247422474,0.11851159846442864,False
full,raw_history_explicit_b256,raw_history_explicit,256,1,Assert / Elaborate,160,0.558203125,0.5423396227860514,0.5741809036542853,False,24,0.11744791666666668,0.08546986579660182,0.14877232142857144,False
full,raw_history_b256,raw_history,256,3,Assert / Elaborate,74,0.5225225225225226,,,True,12,0.04842342342342342,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,Assert / Elaborate,74,0.5194256756756757,,,True,12,0.03885135135135134,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,Assert / Elaborate,74,0.5098536036036035,,,True,12,0.020833333333333336,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,Assert / Elaborate,74,0.5182995495495496,,,True,12,0.0411036036036036,,,True
full,raw_history_b256,raw_history,256,1,Clarification Request (Specific),16,0.5455729166666667,,,True,10,0.1171875,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,Clarification Request (Specific),16,0.5442708333333334,,,True,10,0.08854166666666667,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,Clarification Request (Specific),16,0.5234375,,,True,10,0.05208333333333333,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,Clarification Request (Specific),14,0.5372023809523809,,,True,9,0.0744047619047619,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,Clarification Request (Specific),16,0.53125,,,True,10,0.06770833333333333,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,Assert / Elaborate,122,0.5529371584699453,,,True,18,0.1092896174863388,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,Assert / Elaborate,62,0.5117607526881721,,,True,11,0.02620967741935484,,,True
full,raw_history_b256,raw_history,256,5,Assert / Elaborate,38,0.5164473684210527,,,True,8,0.04385964912280702,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,Assert / Elaborate,37,0.5197072072072071,,,True,8,0.03941441441441442,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,Assert / Elaborate,37,0.5112612612612611,,,True,8,0.02477477477477477,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,Assert / Elaborate,33,0.5119949494949496,,,True,8,0.023989898989898985,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,Assert / Elaborate,37,0.5129504504504504,,,True,8,0.043918918918918914,,,True
full,raw_history_b256,raw_history,256,1,Topic Shift,6,0.48611111111111116,,,True,6,0.23611111111111113,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,Topic Shift,6,0.49652777777777785,,,True,6,0.17361111111111108,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,Topic Shift,6,0.47222222222222227,,,True,6,0.1388888888888889,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,Topic Shift,6,0.5069444444444444,,,True,6,0.1388888888888889,,,True
full,raw_history_b256,raw_history,256,1,Agree / Align,20,0.5489583333333334,,,True,11,0.09791666666666668,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,Agree / Align,20,0.54375,,,True,11,0.0875,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,Agree / Align,20,0.5322916666666666,,,True,11,0.06458333333333333,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,Agree / Align,19,0.5285087719298246,,,True,10,0.05701754385964912,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,Agree / Align,20,0.5302083333333333,,,True,11,0.060416666666666674,,,True
full,raw_history_b256,raw_history,256,1,Answer,7,0.550595238095238,,,True,5,0.10119047619047619,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,Answer,7,0.574404761904762,,,True,5,0.1488095238095238,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,Answer,7,0.5297619047619048,,,True,5,0.05952380952380952,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,Answer,5,0.5624999999999999,,,True,3,0.125,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,Answer,7,0.5625,,,True,5,0.12499999999999999,,,True
full,raw_history_b256,raw_history,256,3,Agree / Align,5,0.5166666666666667,,,True,4,0.03333333333333333,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,Agree / Align,4,0.5104166666666666,,,True,4,0.020833333333333332,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,Agree / Align,4,0.5052083333333334,,,True,4,0.010416666666666666,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,Agree / Align,4,0.5260416666666667,,,True,4,0.05208333333333333,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,Agree / Align,4,0.5104166666666666,,,True,4,0.020833333333333332,,,True
full,raw_history_b256,raw_history,256,5,Clarification Request (Specific),3,0.5,,,True,3,0.0,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,Clarification Request (Specific),3,0.5,,,True,3,0.0,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,Clarification Request (Specific),3,0.513888888888889,,,True,3,0.027777777777777776,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,Clarification Request (Specific),3,0.5069444444444445,,,True,3,0.013888888888888888,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,Clarification Request (Specific),3,0.5,,,True,3,0.0,,,True
full,raw_history_b256,raw_history,256,3,Clarification Request (Specific),4,0.5364583333333334,,,True,3,0.07291666666666666,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,Clarification Request (Specific),4,0.5104166666666667,,,True,3,0.020833333333333332,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,Clarification Request (Specific),4,0.5052083333333334,,,True,3,0.010416666666666666,,,True
