episode_id,turn_idx,speaker_role,speaker_id,violation_type,violation_trigger,violation_source,severity,conversation_move_label,turn_type_label,word_count,turn_text,next_move,next_role,same_speaker_next,repair_next,challenge_next,self_repair_next,policed_next
43890,2,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,21,"Eddie, bad guy, Eddie, which do you prefer? You can call me whatever you like, Mr. President. Just keep it appropriate.",Assert / Elaborate,guest,0,0,0,0,0
45319,57,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,37,"they have. Yeah, it's untethered from principle. It's generally telling people what they want to hear. And that's how I define populism, and that's certainly how I observe it in practice. um... so",Correction / Challenge,host,0,0,1,0,1
45379,13,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,3,here in colorado,Clarification Request (Specific),host,0,1,0,0,1
46409,54,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,28,This is a good segue to Diane's question from South Carolina. What can we sit as citizens do to prevent something like this from ever happening again?,Assert / Elaborate,guest,0,0,0,0,0
46719,7,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Correction / Challenge,Substantive,7,Not even a year and a half,Clarification Request (Specific),host,0,1,0,0,1
46721,29,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,7,For sure. Rapid fire questions. Favorite food?,Assert / Elaborate,guest,0,0,0,0,0
46723,35,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,2,Favorite book?,Assert / Elaborate,guest,0,0,0,0,0
47128,8,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Stonewalling / Non-Response,Substantive,39,chance to buy. Grand for a chance to buy. Grand for a chance to buy. Grand for a chance to buy. Grand for a chance to buy. Grand for a chance to buy. Grand for a chance to buy.,Assert / Elaborate,guest,0,0,0,0,0
47170,65,host,SPEAKER_02,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,19,do you think came to this for a political podcast that are banging their heads on their desk right?,Self-Correction,guest,0,0,0,0,0
48661,23,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,3,"Final words, vote.",Stonewalling / Non-Response,host,0,0,0,0,0
49220,55,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,2,"Uh, trailblazing.",Clarification Request (Specific),host,0,1,0,0,1
49233,69,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,65,well i think you look i think north carolina arizona i mean the democrats play right now is north carolina uh... arizona uh... clearly a new mexico main now that's their their uh... their plays they look at this uh... they say i say i will i mean you know they they've got this place but they've got to run the table,Assert / Elaborate,host,0,0,0,0,0
49455,39,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,7,Certainly people feel it with fentanyl deaths.,Agree / Align,host,0,0,0,0,0
