category,episode_id,trigger_turn_idx,trigger_type,assumption_count,duration_sec,next_turn_latency_sec,repair_event_count,challenge_event_count,continuation_event_count,support_marker_count,topic_shift_indicator,silence_void_outcome,cascade_duration_sec,observation_horizon_sec,followup_turns_observed,exit_move,trigger_text
business,001__Larry_Levine_-_Selling_From_The_Heart,11,over_info,5,100.43999999999998,6.605014005602243,0,1,3,0,0,0,26.87999999999988,180.0,4,,". - Yeah, so here's what's interesting, 'cause I ask, I'll ask VP of sales, anyone who's leading sales teams, whatever the date may be of the conversation, right? I'll just say,..."
business,004_Peggy_Moore__CEO_of_Love_s_Oven,24,over_info,5,61.3,1.0199999999999818,0,0,0,0,0,1,0.0,2.2100000000000364,1,Stonewalling / Non-Response,"Well, thank you. And thank you. And I think, you know, even if people are primarily interested in the marketing aspect of this, there are things that can be done legislatively t..."
business,004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,25,over_info,5,54.85,3.0713039014374317,1,0,3,0,0,0,3.0713039014374317,180.0,4,,"Sure. I mean, I mean, I'm really not a part of them anymore. Ever since I kind of got out of the operation side of it. You know, I like Maydak, which is the National Association..."
business,005_Humanizing_You_Real_Estate_Brand,22,over_info,5,73.3,52.198695365112826,0,0,0,0,0,1,0.0,52.198695365112826,0,,"such a good question. I would say, because I try to touch on being forward, I try to touch on things like TikTok, for example, that even though I'm not the biggest proponent of..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,4,over_info,5,56.56,0.47999999999998977,0,0,3,0,0,1,0.0,180.0,4,,".www.com/blog to catch up on all of the past podcasts that we have been putting out for you. So Toby, when we looked at pressure and stress, what we really did is look at the di..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,25,over_info,5,64.41059608900876,6.635433580579729,0,0,1,0,0,1,0.0,180.0,1,,"can almost, what you're saying though, it almost can be come down to and be summed up in a single statement which is the ability to feel without having to do. That's a really pr..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,27,over_info,5,64.9523935277057,2.4617344362429776,0,0,1,0,0,1,0.0,27.963716989772138,2,Stonewalling / Non-Response,"that. It's unique because if we think about entrepreneurship and actually starting, running a business, building a business, there's not really a separation between that. Often..."
business,008__Facing_the_Reality_of_Food_Insecurity,25,over_info,5,53.30720787207873,6.246543665436775,1,0,1,0,0,0,6.246543665436775,180.0,2,,"Well, you know, harvesters mission is to feed hungry people today and to work to end hunger tomorrow. And so one of the things that we rely on is just the data that we get back..."
business,008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,46,over_info,5,73.36,0.0,0,0,1,0,0,1,0.0,180.0,2,,"Um, I don't know if I could give you a textbook definition. I'd say the best way to think about demography is think about the study of populations their structure their composit..."
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,0,218.74,1.099999999999909,2,0,4,0,0,0,140.83516460283897,180.0,6,,- So the first step is to figure out your topic. More so than like being super honed in on like who you wanna target. Because I think it's just really about starting 'cause a lo...
