analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses,diagnostic_question,contrast
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,213,0.01848591549295775,0.011679986338797816,0.024327432603923713,False,24,105,68,40,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
complete_case,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,166,0.018072289156626505,,,True,19,84,51,31,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
full,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,213,0.01848591549295775,0.011991634794943614,0.024589004583693255,False,24,105,68,40,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,24,0.01388888888888889,,,True,9,9,9,6,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,189,0.019069664902998235,0.012867017526188558,0.02492067052099947,False,24,96,59,34,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,87,0.009578544061302685,,,True,12,35,48,4,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
complete_case,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,75,0.009166666666666672,,,True,12,30,41,4,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
full,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,87,0.009578544061302685,,,True,12,35,48,4,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,7,0.005952380952380947,,,True,5,3,3,1,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,80,0.009895833333333336,,,True,12,32,45,3,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
