analysis_subset,condition,base_condition,representation_budget,future_horizon,true_future_turn_move_label,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
full,raw_history_b128,raw_history,128,1,Assert / Elaborate,161,0.8676242236024845,0.8489500541907514,0.8873671775620817,False,24,0.7740683229813664,0.7367348644544176,0.8131135697032436,False
full,raw_history_b256,raw_history,256,1,Assert / Elaborate,161,0.8975155279503105,0.8807447596453709,0.9134769499812839,False,24,0.8369565217391305,0.8107954954630563,0.8618367223830832,False
full,raw_history_b512,raw_history,512,1,Assert / Elaborate,161,0.9081262939958591,0.8913558563125168,0.9226958717201824,False,24,0.8612836438923397,0.8358663713663399,0.8830840078967238,False
full,structured_explicit_history_b128,structured_explicit_history,128,1,Assert / Elaborate,161,0.8513198757763976,0.8212493359137825,0.8747229291417165,False,24,0.790631469979296,0.7541650883838383,0.8191574617971309,False
full,structured_explicit_history_b256,structured_explicit_history,256,1,Assert / Elaborate,161,0.8649068322981367,0.841738965269681,0.8844117599742599,False,24,0.8317805383022774,0.7969513125763126,0.8535863223454423,False
full,structured_explicit_history_b512,structured_explicit_history,512,1,Assert / Elaborate,161,0.8659420289855073,0.8486744649925778,0.8807044653116207,False,24,0.8209109730848863,0.7934732935951381,0.841453564999357,False
full,structured_explicit_assumption_history_b128,structured_explicit_assumption_history,128,1,Assert / Elaborate,161,0.8501552795031055,0.8188518190681444,0.8757336759830017,False,24,0.7851966873706003,0.74878518191625,0.815825608833959,False
full,structured_explicit_assumption_history_b256,structured_explicit_assumption_history,256,1,Assert / Elaborate,161,0.8792701863354038,0.8548775143678161,0.8988711572888509,False,24,0.8377329192546584,0.8088192362932434,0.8623321669676643,False
full,structured_explicit_assumption_history_b512,structured_explicit_assumption_history,512,1,Assert / Elaborate,161,0.8751293995859214,0.8547462736494895,0.8915370432764302,False,24,0.8263457556935819,0.7991672716104534,0.8485063726393837,False
full,structured_explicit_shuffled_assumption_history_b128,structured_explicit_shuffled_assumption_history,128,1,Assert / Elaborate,161,0.7923136645962733,0.7586986940298508,0.8196688253837718,False,24,0.6886645962732919,0.6389922603901612,0.72625823839778,False
