prompt,turn_text,n_explicit,n_implicit,n_assumptions,avg_confidence,is_valid,has_keys
prompt1,"[Music] Hi everyone and welcome to another episode of Lead Radio Podcast. Today on our Inside Knowledge series we have Colin Shearer. So he's a pioneer and thought leader in advanced analytics which he has been for the past 25 years. He's also co-author of Make It All About Me, leveraging on-new channel and AI for marketing success. And today he'll be covering the topic, surviving and thriving in a changing world, AI and data-driven adaptation in a COVID crisis. So now over to Colin. Hello everybody",8,5,5,0.818,True,True
prompt1,". As well as everything else that's happening to us during this pandemic, we're all being deluged with data. We hear endless daily bulletins of updates and statistics and the lots of online dashboards we can access that record the disease's progression in graphic detail. Many people who worked in the area that I've been in for 30 plus years and who would now probably call themselves data scientists seem to have become armchair epidemiologists. They look at every spike and every bump and change of gradient in the infection figures. They debate what each of these little nuances means and on social media, I often hear them interpreting their observations in terms of their own political beliefs and biases to show that this government or that is doing a good job or a bad job in their response to COVID-19. More practically of course, data analytics plays a big part in actually dealing with the pandemic as in the estimation of the all-important R number where even slight variations could mean the difference between an improving situation with the epidemic fizzling out on one hand or potentially exponential infection rates on the other. Also, many governments are currently developing and testing contact logging apps. Once these are deployed and they've been widely adopted by the public, advanced analytics will be crucial in interpreting that data to drive successful tracking and tracing programs. But what about the struggles businesses face in surviving, let alone thriving in this world that's changed beyond recognition? In the book, Rasmus Huland and I published last year, ""Naked All About Me"", we talked about how data and AI that can learn from that data are at the heart of building, sustaining and growing successful customer relationships. And similarly, organizations can use the same tools, data feeding advanced analytics and AI to successfully adapt your operations and strategies in marketing and in other aspects of the business as well to the new and dynamic situation we all find ourselves in today. Take retailers. For some, the change has been absolutely monumental. If physical stores have been your main channel and your online presence was almost a box ticking after thought, you have a problem when suddenly your website is the only means by which people can buy from you. To instantly go from what you've got today to a top-of-the-range e-commerce site, it's just impossible. The years of design and implementation effort and of tuning the online experience and the sales process, these are things that can't just be replicated overnight. But even the most basic sales website though, with a relatively little effort, can have its performance boosted immediately by a data-driven approach. And that can start from data that you own already, data from other channels and sources, for example from customer loyalty schemes. AI-based algorithms analyze that historic data as well as online purchase and browsing behavior, and then they automatically recommend the right product to the right shopper at the right time. Recommendations can also be delivered through outbound channels, driving your customers, including those who've never shopped online with you before, to your website. So your site becomes busier, it becomes more relevant to each visitor, basket size increases, and online sales are boosted. And because the AI learns emergent shopper behavior from the latest data, recommendations get better and better over time, and drive continuous revenue growth. And all the time this is going on, you're continually receiving insights on how to incrementally improve your online property. Retailers who are able to keep their physical stores open, and in many countries that means grocery stores and supermarkets, as well as those providing other essential goods, face different challenges. We've seen unprecedented demand for certain lines. Think about what was unavailable on your latest visits to the supermarket. Baking ingredients, cleaning products, over-the-counter medication, and of course let's not forget toilet paper. These and many other items have been stripped from the shelves by concerned shoppers. The actual items targeted have varied. What's bought has been based on rumour, on fear, on uncertainty, on short-lived panic-buying trends. Traditional supply chains and replenishment strategies struggle to cope, and frankly they simply can't deal with these constantly changing demand patterns. What AI can do is to provide dynamic demand forecasting for retailers, taking into account rapidly changing shopping patterns and pandemic induced changes to consumer preferences and to their behaviour. AI-based algorithms combine your longer-term data, your historic data, with the latest sales information, and taking into account catchment-area demographics and patterns across the store network, they deliver accurate and robust demand forecasts for each store at the individual item level, and they adapt immediately to new trends as the surface in the latest data. An important element which can help fuel the use of AI, not just in these demand forecasting and assortment planning systems, but also in many areas of marketing and promotion, is up-to-date market research insight into how the pandemic is affecting consumers, how they think, how they feel, and what that means in terms of how they're likely to act. For example, in the Nordics we're seeing the AI-Rome service which combines data on changing consumer purchase intentions in about 30 different categories with search engine data. That's now being supplemented with transaction data and location data via banking and telco partners and used to serve up AI-based forecasting models. There are many other areas in which AI, applied to corporate data assets, often enhanced with external information, can help companies adapt to the pandemic crisis. Everything from personnel planning based on predicting levels and timing of COVID-related sick leave and returning staff, to optimizing maintenance and other operations, to ensure that essential services can still be provided even with reduced resource availability. Whatever your business is, I hope this has given you ideas and food for thought about how data and AI can help in the current situation. I hope you go on to not just get through these challenging times, but also manage to adapt your business in ways that will see you thrive and flourish when we get back to normal, whatever the new normal looks like. In the meantime, stay safe and stay well. Colin, thank you so much for contributing to",28,12,5,0.818,True,True
prompt1,"our Inside Knowledge series. I think data in an unknown situation can be something we can really feed on and it was really interesting to hear you speak about that. Do you keep an eye on our social media @LidPublishing, where we'll be sharing podcasts like ones with Colin, as well as other inside knowledge from our other authors and experts. Take care for now and we'll see you next time on LidRejo Podcast. [MUSIC PLAYING]",8,7,5,0.818,True,True
prompt1,"(upbeat music) - Hello everybody and welcome to Ask the CEO with Avraham Gattail. Today, I'd like to introduce a very special guest. He's the Executive Vice President and Chief Revenue Officer of CRIMO, a company that fills the critical gap in industrial productivity by leveraging analytics to transform underutilized data into operation critical insights. As part of this discussion, we will share how the partnership with Microsoft, the use of Azure and the Azure Marketplace, have empowered them to scale and grow their business. It's my pleasure to welcome Paul Boris. Welcome, Paul. - Thanks, everyone.",7,5,5,0.818,True,True
prompt1,"you there. - Yeah, great having you here. So Paul, I'm really excited to be speaking to you today. IoT deployments have gone up year over year with a projected number of 20.4 billion devices installed by the end of this year. Now, while many manufacturers like to paint this rosy picture of customers using only their products in a green field environment, the reality is that many manufacturing facilities have all kinds of IoT devices installed in there. And as we know, one of the benefits of having an industrial IoT solution is the ability to obtain actionable analytics from your devices. And that's hard enough to attain on a single manufacturer's platform, let alone a hodgepodge of hundreds of thousands of disparate devices across an industrial manufacturing facility. What are the challenges industrial operations run into when trying to convert their IoT collected data into useful",8,5,5,0.818,True,True
prompt1,"? - Yeah, so this is a great point 'cause everybody's in this rush to drive more data and more devices into the operation. And I've been in the space at this point, quite a long time, 30 years really in manufacturing. The biggest challenges are, first off, people don't think they have data at all. So they've got data on some new pieces of equipment or some new lines or something that they brought in. But that data, when they look at it from a typical perspective, isn't enough to give them a full view of what's going on in the operation. They've kind of got a node as opposed to a network or a train of assets. So that causes a lot of issues because it shows up as gaps in the data, gaps in the insights they may get. That's not necessarily the case, I'll maybe explain why later, but that is one of the concerns. Next is they've got some data and now they're trying to get it securely from that device, from that machine, from that cluster or work cell into a position where they can use it. That might be a local system, an MES manufacturing execution system, something like that. Now more so, it's up into the cloud where they can do some deeper analytics on it and get some better insights. And the third is, if you've actually got it and you've got it moved into a position where you can actually take a look at it, a lot of folks, and this is one of the kind of mistakes that some people make is they feel the necessity to have it all harmonized, normalized, rationalized. It's all got to be named correctly. And they spend, I talk with manufacturers that quite frankly, they've got programs that might run two, three years where the first year is spent cleaning things up. And the big challenge there is, halfway through that process, they'll bring in a new line from a different facility that's got a different set of systems with a different Navy",13,6,5,0.818,True,True
prompt1,"all over again. - They'll start all over again, they'll buy another division, they'll retire a facility in an asset where they started it. So it becomes this kind of a decaying loop of always get new information coming in and I can never seem to get this all straight now. That's holding a lot of things up. There's a lot of things that are going on right now, really in the data space, the security and the transport of that data that are eliminating those challenges for the most part. But it's, that's where people kind of get stuck. They look at this and they say, I've got to buy a whole bunch of sensors and put sensors in to get started. I think that's, I don't think that's active. I think you can get started a lot",11,7,5,0.818,True,True
prompt1,"'s, yes, it's, you need to move forward with the process because remember, this data isn't just going to change how you run these operations. It's going to change how your people interact with the systems and interact with each other and understand how the process is running. These processes are coming incredibly more complex. And if we don't kind of allow people to walk into the space where they're using these tools and technologies and virtual bots and things that are helping them through, to do better analytics, they're not going to be ready. You can't flip the switch and instantly create this, you know, brilliant factory or smart factory. And expect that everybody's going to be ready to do anything with that when they're standing in front of that equipment. You need to do this in tandem working together",11,5,5,0.818,True,True
prompt1,"is really where I've spent a lot of my time and how I've attacked it for a lot of years. And this is back running on AS 400s and getting reports on green bar and how you do at that level of data when you're trying to run operations and manufacturing in real time. The point, and you mentioned this earlier, is to get started now with what you have. If I have nothing more than I know what went in and I know what came out, if I can get better insight to that and I can feed that information back to people, then I can actually start to understand do I want to work on the first half of that line or that area or that plant or the second half? How can I start dividing it? So it's not to lose good on behalf of pursuing a great. That's really what the issue is about. So use what you have. You've got more data than you need to get started. Start now and create some insights. Those insights will guide you into what the next best action is and how you're gonna drive your process forward",11,5,5,0.818,True,True
prompt1,"yes, it is. It is, if you don't understand that, and this is just my position, for the foreseeable future, we still can't get self-driving cars to do really well in adverse conditions. And so just yesterday, I had a long conversation with a manufacturing manager, very complex process. He's dealing with right now COVID, the virus, this massive disruption to his supply chain. So literally 40% of his staff of 500 has been called non-essential. So they're out. Now the other 60% have to come in. They have to stay six feet apart. They've got to wear PPE. Everybody's got to be protected and safe. All while doing manufacturing. He's in the oil and gas phase. So there's been this tremendous collapse of the oil market. He's got to deal with that. And at the same time this was going on, they actually retired a facility and they're bringing a new facility into his operation. He can have all the data in the world, all the analytics, all the metrics. If he's not driving that team forward, and one of the things that he said to me that I thought was really brilliant, he explains to his team every day that this is a chance to do something you'll never get to do in your lifetime. Your growth and your ability to endure kind of chaos in operations will never be challenged probably in our lifetimes way it is right now. So he's working with the team, but he's also now got them focused on the data. Where can we start to pick off pieces of data, start to roll that back into the operation and give folks refocused on the things that are driving the process forward most effectively. So if you're not doing both, if you're not considering how to augment the intelligence of the human and how to make the machine more thinking, a more intelligent machine and then work those in combination, you're going to miss the opportunity. I just don't think you're going to be able to drive the process if I can",16,8,5,0.818,True,True
