analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses,diagnostic_question,contrast
sparse_explicit,1,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,24,-0.013888888888888881,,,True,9,9,4,11,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
assumption_eligible,1,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,214,-0.018107476635514014,-0.04579682516721429,0.007198083778966131,False,24,87,21,106,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
complete_case,1,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,167,-0.014221556886227544,,,True,19,72,15,80,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
dense_explicit,1,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,189,-0.018408289241622577,-0.04571350818794,0.00844371034555083,False,24,78,17,94,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
full,1,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,214,-0.018107476635514014,-0.042518055126819984,0.005531284650424042,False,24,87,21,106,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
sparse_explicit,3,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,7,-0.0982142857142857,,,True,5,0,0,7,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
assumption_eligible,3,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,88,-0.006865530303030304,,,True,12,38,6,44,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
complete_case,3,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,76,-0.008771929824561403,,,True,12,32,6,38,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
dense_explicit,3,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,80,0.004166666666666666,,,True,12,38,6,36,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
full,3,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,88,-0.006865530303030304,,,True,12,38,6,44,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
sparse_explicit,5,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,4,-0.03645833333333334,,,True,4,1,0,3,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
assumption_eligible,5,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,46,0.0009057971014492718,,,True,8,21,2,23,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
complete_case,5,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,42,0.0024801587301587244,,,True,8,19,2,21,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
dense_explicit,5,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,41,0.006097560975609752,,,True,7,20,2,19,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
full,5,structured_explicit_assumption_history_b128,raw_history_b128,structured_explicit_assumption_history,raw_history,128,accuracy,46,0.0009057971014492718,,,True,8,21,2,23,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b128 - raw_history_b128
sparse_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,24,-0.0008680555555555617,,,True,9,9,7,8,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
assumption_eligible,1,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,214,-0.004478193146417446,-0.013600982359593958,0.005062996397281584,False,24,81,45,88,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
complete_case,1,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,167,-0.0056137724550898195,,,True,19,62,32,73,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
dense_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,189,-0.0046296296296296285,-0.013061082066487961,0.0053312517944300855,False,24,72,38,79,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
full,1,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,214,-0.004478193146417446,-0.012040575836327484,0.0047431947925368955,False,24,81,45,88,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
sparse_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,7,-0.0654761904761905,,,True,5,3,0,4,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
assumption_eligible,3,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,88,-0.003787878787878792,,,True,12,43,6,39,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
