assumption_id,category,source_episode_id,source_turn_idx,source_assumption_idx,source_speaker_id,assumption_text,control_episode_id,control_explicit_claim_count,matched_control_claims,selected_control_claims,scored_pairs,max_entailment_score,mean_entailment_score,entailed,best_claim_text,best_claim_turn_idx,best_claim_idx,best_overlap_score,best_confidence
business|Lisa_Chinatti_on_the_Rubin_Special|23|2|f8a53cbe3bb5c445,business,Lisa_Chinatti_on_the_Rubin_Special,23,2,SPEAKER_01,The audience views shared core values as essential to organizational culture and success.,111___Square_Reserve_Accounts__Chargebacks___COVID-19,17,0,0,0,0,0.0,False,,,,,
political|49233|58|1|253e526ed586ae0b,political,49233,58,1,SPEAKER_01,Endorsing a candidate involves more than just public support—it requires resources.,75284,236,0,0,0,0,0.0,False,,,,,
business|10_How_Claire_turned_a_passion_for_teaching_and_a_nasty_accident_into_an_incredible_therapy_practice|34|2|e6a3e7504e1f3c7c,business,10_How_Claire_turned_a_passion_for_teaching_and_a_nasty_accident_into_an_incredible_therapy_practice,34,2,SPEAKER_00,The listener has been actively promoting or exaggerating their achievements.,Part_2__Permission_To_Feel,175,0,0,0,0,0.0,False,,,,,
sports|S1_E2._Edward_Bluemel_2|36|1|5c4eec8275ffbd39,sports,S1_E2._Edward_Bluemel_2,36,1,SPEAKER_00,Opposing Southampton has some meaningful consequence or significance.,Throwin__Hands_Episode_18___Fight_Night__Poirier_vs._Hooker_Preview,308,2,2,2,3,2.0,False,He has achieved some of his victories in spectacular fashion.,31,9,2,0.700000
business|Action_Creates_Motivation|0|6|374e80a85a11cdab,business,Action_Creates_Motivation,0,6,SPEAKER_00,Recipients will use the funds responsibly and focus on meaningful skill acquisition rather than personal spending.,8._Leading_Heart_First__Guiding_Sola_Through_COVID-19,30,0,0,0,0,0.0,False,,,,,
political|92840|22|0|60c5b8f137dd0260,political,92840,22,0,SPEAKER_00,The speaker believes that public figures should explicitly condemn white supremacy when directly questioned.,90082,149,2,2,2,1,1.0,False,Child care should be treated as a public infrastructure priority like roads and bridges.,5,6,2,0.800000
political|86533|27|2|70cee027a8a693b4,political,86533,27,2,SPEAKER_00,The integrity of the user pay model depends on maintaining exclusive use of its revenues.,82919,55,1,1,1,1,1.0,False,The neighborhood grocery program allows people of all incomes to access healthy food through a pay-as-you-can model.,1,7,2,0.950000
political|66017|16|1|6345de1ec3a59fdd,political,66017,16,1,SPEAKER_00,There is a growing expectation that Congress will formally de-prioritize federal enforcement of marijuana laws.,50741,142,1,1,1,1,1.0,False,There are four major drug pricing proposals currently under discussion in Congress.,0,4,2,0.950000
business|Roxgold__ROXG__-_Doubling_Production__Doubling_Revenue__Time_to_pay_Attention|2|4|3016d8867d969184,business,Roxgold__ROXG__-_Doubling_Production__Doubling_Revenue__Time_to_pay_Attention,2,4,SPEAKER_01,The business topic has evolved significantly over the past year.,Exclusive_Interview_with_Kristine_Boyd_of_Neiman_Marcus,288,0,0,0,0,0.0,False,,,,,
political|47168|11|2|5da1061a663a3a1c,political,47168,11,2,SPEAKER_02,Trade policy should be framed as a strategic tool against geopolitical rivals like China.,92312,235,0,0,0,0,0.0,False,,,,,
religion|N.T._Wright__Theologian|36|3|9ab8d7a0088f3563,religion,N.T._Wright__Theologian,36,3,SPEAKER_01,The audience values theological continuity between present actions and eschatological fulfillment.,Plant_Medicine_with_Makenzie_Marzluff,156,0,0,0,0,0.0,False,,,,,
business|S1E52__Ingrid__Foreign_Affairs_Undergraduate_Student|75|1|7efd5c5e85d01437,business,S1E52__Ingrid__Foreign_Affairs_Undergraduate_Student,75,1,SPEAKER_01,The speaker views specialization in graduate study as a positive and desirable trait.,050_Sam_Richter__Bestselling_Author_and_Hall_of_Fame_Speaker,177,1,1,1,1,1.0,False,The speaker views the interlocutor's stance as an anti-commercial endorsement.,18,6,2,0.800000
commentary|William_McNulty_-_Veterans_with_a_New_Mission_4|5|4|3d2c5f5a74e98be2,commentary,William_McNulty_-_Veterans_with_a_New_Mission_4,5,4,SPEAKER_00,Peer-based support systems are more effective than institutional programs for veteran reintegration.,Moneyball_for_child_welfare_2,220,1,1,1,1,1.0,False,The number of flagged child abuse images and videos more than doubled compared to the previous year.,3,4,2,0.950000
business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a,business,Granting_The_Freedom_You_Want_To_Others,4,3,SPEAKER_01,Giving space for uniqueness does not imply abandoning quality or performance expectations.,Episode_6_-_Blair_Scorgie,252,4,4,4,9,3.0,True,"The speaker does not want to be seen as producing a generic, copy-paste style document.",19,1,2,0.950000
political|43244|13|1|6ba7096475499c93,political,43244,13,1,SPEAKER_01,The speaker believes that legislation originating in the House should be preserved intact in final form.,82942,75,0,0,0,0,0.0,False,,,,,
religion|In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program|18|3|dbe926f0ad1627f8,religion,In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program,18,3,SPEAKER_01,The speaker assumes that emotional appeal based on self-reflection will influence the audience’s perception of military rigor.,Ps_Andrew_Newbold,26,2,2,2,1,1.0,False,The speaker prays that the message will empower the listener to follow Jesus more closely.,0,5,2,0.950000
business|Ep._25_Special__Catalyst_During_Covid_-_Tim_Daly_of_Ed_Navigator|12|0|455bf49bc4c6b4c6,business,Ep._25_Special__Catalyst_During_Covid_-_Tim_Daly_of_Ed_Navigator,12,0,SPEAKER_01,"Basic material needs like food, healthcare, and safety take precedence over educational participation.",The_Rams_Uniforms_Are,262,0,0,0,0,0.0,False,,,,,
