prompt,episode_key,src_point_id,src_turn_num,src_speaker_id,dst_point_id,dst_turn_num,dst_speaker_id,similarity
prompt1,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,T2_A0,2.0,SPEAKER_01,T3_A0,3.0,SPEAKER_00,0.647278904914856
prompt1,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,T2_A4,2.0,SPEAKER_01,T3_A1,3.0,SPEAKER_00,0.6207137107849121
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T3_A3,3.0,SPEAKER_01,T4_A2,4.0,SPEAKER_00,0.6046605110168457
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T5_A4,5.0,SPEAKER_01,T6_A2,6.0,SPEAKER_00,0.6355879306793213
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T5_A1,5.0,SPEAKER_01,T6_A4,6.0,SPEAKER_00,0.6281288862228394
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T4_A4,4.0,SPEAKER_00,T7_A2,7.0,SPEAKER_01,0.6307159662246704
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T4_A2,4.0,SPEAKER_00,T7_A4,7.0,SPEAKER_01,0.6214896440505981
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T9_A1,9.0,SPEAKER_00,T11_A4,11.0,SPEAKER_01,0.6642053127288818
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T6_A1,6.0,SPEAKER_00,T13_A2,13.0,SPEAKER_01,0.6094642281532288
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T6_A0,6.0,SPEAKER_00,T13_A5,13.0,SPEAKER_01,0.6195691823959351
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T9_A1,9.0,SPEAKER_00,T15_A4,15.0,SPEAKER_01,0.6103284358978271
prompt1,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,T2_A3,2.0,SPEAKER_01,T9_A3,9.0,SPEAKER_00,0.6081198453903198
prompt1,Cloudpick_AI-Powered_Autonomous_Retail_Store_Sol_10160c6c52,T1_A4,1.0,SPEAKER_02,T11_A2,11.0,SPEAKER_03,0.6071270704269409
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T11_A8,11.0,SPEAKER_01,T12_A1,12.0,SPEAKER_00,0.738371729850769
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T11_A0,11.0,SPEAKER_01,T14_A0,14.0,SPEAKER_00,0.6550604104995728
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T12_A1,12.0,SPEAKER_00,T16_A4,16.0,SPEAKER_01,0.6250607967376709
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A2,17.0,SPEAKER_00,T18_A1,18.0,SPEAKER_01,0.6308746337890625
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A2,17.0,SPEAKER_00,T18_A6,18.0,SPEAKER_01,0.6636707782745361
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A2,17.0,SPEAKER_00,T18_A9,18.0,SPEAKER_01,0.6027785539627075
