prompt_id,assumption_id,category,source_episode_id,source_turn_idx,source_assumption_idx,assumption_text,control_episode_id,control_turn_idx,control_claim_idx,claim_text,overlap_score,entailment_score,confidence,raw
sports|S1_E2._Edward_Bluemel_2|36|1|5c4eec8275ffbd39|0,sports|S1_E2._Edward_Bluemel_2|36|1|5c4eec8275ffbd39,sports,S1_E2._Edward_Bluemel_2,36,1,Opposing Southampton has some meaningful consequence or significance.,Throwin__Hands_Episode_18___Fight_Night__Poirier_vs._Hooker_Preview,3,6,Linz has some submission finishes.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
sports|S1_E2._Edward_Bluemel_2|36|1|5c4eec8275ffbd39|1,sports|S1_E2._Edward_Bluemel_2|36|1|5c4eec8275ffbd39,sports,S1_E2._Edward_Bluemel_2,36,1,Opposing Southampton has some meaningful consequence or significance.,Throwin__Hands_Episode_18___Fight_Night__Poirier_vs._Hooker_Preview,31,9,He has achieved some of his victories in spectacular fashion.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
political|92840|22|0|60c5b8f137dd0260|0,political|92840|22|0|60c5b8f137dd0260,political,92840,22,0,The speaker believes that public figures should explicitly condemn white supremacy when directly questioned.,90082,5,6,Child care should be treated as a public infrastructure priority like roads and bridges.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
political|92840|22|0|60c5b8f137dd0260|1,political|92840|22|0|60c5b8f137dd0260,political,92840,22,0,The speaker believes that public figures should explicitly condemn white supremacy when directly questioned.,90082,14,1,The speaker believes it was positive that Donald Trump remains banned from Facebook.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
political|86533|27|2|70cee027a8a693b4|0,political|86533|27|2|70cee027a8a693b4,political,86533,27,2,The integrity of the user pay model depends on maintaining exclusive use of its revenues.,82919,1,7,The neighborhood grocery program allows people of all incomes to access healthy food through a pay-as-you-can model.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|66017|16|1|6345de1ec3a59fdd|0,political|66017|16|1|6345de1ec3a59fdd,political,66017,16,1,There is a growing expectation that Congress will formally de-prioritize federal enforcement of marijuana laws.,50741,0,4,There are four major drug pricing proposals currently under discussion in Congress.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|S1E52__Ingrid__Foreign_Affairs_Undergraduate_Student|75|1|7efd5c5e85d01437|0,business|S1E52__Ingrid__Foreign_Affairs_Undergraduate_Student|75|1|7efd5c5e85d01437,business,S1E52__Ingrid__Foreign_Affairs_Undergraduate_Student,75,1,The speaker views specialization in graduate study as a positive and desirable trait.,050_Sam_Richter__Bestselling_Author_and_Hall_of_Fame_Speaker,18,6,The speaker views the interlocutor's stance as an anti-commercial endorsement.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
commentary|William_McNulty_-_Veterans_with_a_New_Mission_4|5|4|3d2c5f5a74e98be2|0,commentary|William_McNulty_-_Veterans_with_a_New_Mission_4|5|4|3d2c5f5a74e98be2,commentary,William_McNulty_-_Veterans_with_a_New_Mission_4,5,4,Peer-based support systems are more effective than institutional programs for veteran reintegration.,Moneyball_for_child_welfare_2,3,4,The number of flagged child abuse images and videos more than doubled compared to the previous year.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a|0,business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a,business,Granting_The_Freedom_You_Want_To_Others,4,3,Giving space for uniqueness does not imply abandoning quality or performance expectations.,Episode_6_-_Blair_Scorgie,3,3,The speaker does not consider themselves an expert in zoning regulations or municipal policy frameworks.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a|1,business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a,business,Granting_The_Freedom_You_Want_To_Others,4,3,Giving space for uniqueness does not imply abandoning quality or performance expectations.,Episode_6_-_Blair_Scorgie,19,1,"The speaker does not want to be seen as producing a generic, copy-paste style document.",2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a|2,business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a,business,Granting_The_Freedom_You_Want_To_Others,4,3,Giving space for uniqueness does not imply abandoning quality or performance expectations.,Episode_6_-_Blair_Scorgie,35,7,The speaker does not plan to leave Toronto until retirement.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a|3,business|Granting_The_Freedom_You_Want_To_Others|4|3|b4255ecc273e1b3a,business,Granting_The_Freedom_You_Want_To_Others,4,3,Giving space for uniqueness does not imply abandoning quality or performance expectations.,Episode_6_-_Blair_Scorgie,43,5,The speaker currently does not know whether they are still the youngest person in part-time faculty roles.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
religion|In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program|18|3|dbe926f0ad1627f8|0,religion|In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program|18|3|dbe926f0ad1627f8,religion,In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program,18,3,The speaker assumes that emotional appeal based on self-reflection will influence the audience’s perception of military rigor.,Ps_Andrew_Newbold,0,4,The speaker prays that the message will build the listener's faith.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
religion|In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program|18|3|dbe926f0ad1627f8|1,religion|In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program|18|3|dbe926f0ad1627f8,religion,In_this_segment_I_talk_about_the_Ranger_Assement_Selection_Program,18,3,The speaker assumes that emotional appeal based on self-reflection will influence the audience’s perception of military rigor.,Ps_Andrew_Newbold,0,5,The speaker prays that the message will empower the listener to follow Jesus more closely.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
religion|121_-_Seeing_the_Christ_in_All_of_Us|34|2|8cf0f4ed7b5b34e6|0,religion|121_-_Seeing_the_Christ_in_All_of_Us|34|2|8cf0f4ed7b5b34e6,religion,121_-_Seeing_the_Christ_in_All_of_Us,34,2,The audience recognizes 'quote card' as a recognizable format or term within the context.,Mission_Statement,7,3,The format may involve informal or conversational dialogue with the audience.,2,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
