analysis_subset,condition,base_condition,representation_budget,future_horizon,category,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
full,raw_history_b128,raw_history,128,1,business,18,0.880787037037037,,,True,5,0.8125,,,True
full,raw_history_b256,raw_history,256,1,business,18,0.8981481481481483,,,True,5,0.8472222222222222,,,True
full,raw_history_b512,raw_history,512,1,business,18,0.894675925925926,,,True,5,0.849537037037037,,,True
full,structured_explicit_history_b128,structured_explicit_history,128,1,business,18,0.8368055555555556,,,True,5,0.7615740740740741,,,True
full,structured_explicit_history_b256,structured_explicit_history,256,1,business,18,0.8564814814814814,,,True,5,0.7916666666666666,,,True
full,structured_explicit_history_b512,structured_explicit_history,512,1,business,18,0.855324074074074,,,True,5,0.7800925925925927,,,True
full,structured_explicit_assumption_history_b128,structured_explicit_assumption_history,128,1,business,18,0.8541666666666666,,,True,5,0.7777777777777779,,,True
full,structured_explicit_assumption_history_b256,structured_explicit_assumption_history,256,1,business,18,0.8738425925925927,,,True,5,0.8495370370370371,,,True
full,structured_explicit_assumption_history_b512,structured_explicit_assumption_history,512,1,business,18,0.869212962962963,,,True,5,0.8217592592592592,,,True
full,structured_explicit_shuffled_assumption_history_b128,structured_explicit_shuffled_assumption_history,128,1,business,18,0.787037037037037,,,True,5,0.6481481481481483,,,True
full,structured_explicit_shuffled_assumption_history_b256,structured_explicit_shuffled_assumption_history,256,1,business,18,0.8333333333333333,,,True,5,0.75,,,True
full,structured_explicit_shuffled_assumption_history_b512,structured_explicit_shuffled_assumption_history,512,1,business,18,0.8310185185185185,,,True,5,0.7314814814814815,,,True
full,raw_history_b128,raw_history,128,3,business,4,0.875,,,True,1,0.8541666666666667,,,True
full,raw_history_b256,raw_history,256,3,business,4,0.84375,,,True,1,0.875,,,True
full,raw_history_b512,raw_history,512,3,business,4,0.8697916666666666,,,True,1,0.90625,,,True
full,structured_explicit_history_b128,structured_explicit_history,128,3,business,4,0.828125,,,True,1,0.7604166666666666,,,True
full,structured_explicit_history_b256,structured_explicit_history,256,3,business,4,0.8072916666666666,,,True,1,0.78125,,,True
full,structured_explicit_history_b512,structured_explicit_history,512,3,business,4,0.828125,,,True,1,0.7812499999999999,,,True
full,structured_explicit_assumption_history_b128,structured_explicit_assumption_history,128,3,business,4,0.8229166666666666,,,True,1,0.7291666666666667,,,True
full,structured_explicit_assumption_history_b256,structured_explicit_assumption_history,256,3,business,4,0.8489583333333334,,,True,1,0.8020833333333334,,,True
full,structured_explicit_assumption_history_b512,structured_explicit_assumption_history,512,3,business,4,0.875,,,True,1,0.8125,,,True
full,structured_explicit_shuffled_assumption_history_b128,structured_explicit_shuffled_assumption_history,128,3,business,4,0.6875,,,True,1,0.5416666666666667,,,True
full,structured_explicit_shuffled_assumption_history_b256,structured_explicit_shuffled_assumption_history,256,3,business,4,0.6979166666666666,,,True,1,0.6458333333333333,,,True
full,structured_explicit_shuffled_assumption_history_b512,structured_explicit_shuffled_assumption_history,512,3,business,4,0.7447916666666666,,,True,1,0.6770833333333334,,,True
full,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_wrong_episode_assumption_history,128,1,business,11,0.8636363636363636,,,True,4,0.7954545454545456,,,True
full,structured_explicit_wrong_episode_assumption_history_b256,structured_explicit_wrong_episode_assumption_history,256,1,business,11,0.8522727272727273,,,True,4,0.7954545454545454,,,True
full,structured_explicit_wrong_episode_assumption_history_b512,structured_explicit_wrong_episode_assumption_history,512,1,business,11,0.8674242424242423,,,True,4,0.7954545454545454,,,True
full,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_wrong_episode_assumption_history,128,3,business,3,0.8125,,,True,1,0.7638888888888888,,,True
full,structured_explicit_wrong_episode_assumption_history_b256,structured_explicit_wrong_episode_assumption_history,256,3,business,3,0.8125,,,True,1,0.8472222222222222,,,True
full,structured_explicit_wrong_episode_assumption_history_b512,structured_explicit_wrong_episode_assumption_history,512,3,business,3,0.8472222222222222,,,True,1,0.8333333333333334,,,True
