category,episode_id,trigger_turn_idx,trigger_type,followup_turn_idx,event_type,move_label,turn_type_label,relative_start_sec,relative_end_sec,gap_from_previous_sec,turn_text
business,001__Larry_Levine_-_Selling_From_The_Heart,11,over_info,12,continuation_event,Assert / Elaborate,Substantive,6.605014005602243,19.111876750700276,6.605014005602243,"'s interesting that you see a lot of sales professionals that say, well, I'm not getting that training or they're just not providing the training. And one of the things in your..."
business,001__Larry_Levine_-_Selling_From_The_Heart,11,over_info,13,challenge_event,Self-Correction,Disrupted,26.87999999999988,26.919999999999845,7.768123249299606,myself. -
business,001__Larry_Levine_-_Selling_From_The_Heart,11,over_info,14,continuation_event,Assert / Elaborate,Substantive,27.730000000000018,40.33999999999992,0.8100000000001728,"Yeah. - And talk about that because I think that is, it's a thing in the sales profession today is treating it like a profession. -"
business,001__Larry_Levine_-_Selling_From_The_Heart,11,over_info,15,continuation_event,Assert / Elaborate,Substantive,40.33999999999992,204.5999999999999,0.0,"Yeah, it's why I came up with that after my first year, in the business. I mean, I told you in the beginning, this the first year selling copiers, I made $18,000. I was on a dys..."
business,004_Peggy_Moore__CEO_of_Love_s_Oven,24,over_info,25,exit_marker,Stonewalling / Non-Response,Disrupted,1.0199999999999818,2.2100000000000364,1.0199999999999818,so well. So thank
business,004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,25,over_info,26,repair_event,Clarification Request (Specific),Substantive,3.0713039014374317,8.036252566735357,3.0713039014374317,"That sounds lovely. You see a like therapist, need therapist, be only our own checks and balances like you were saying. What's someone that you admire?"
business,004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,25,over_info,27,continuation_event,Assert / Elaborate,Substantive,47.15602479222434,117.7616960135233,39.11977222548899,"I remember considering that this is a, you know, a female founders podcast. I have one distinct recollection. When I was, I think, maybe 15, 14 or 15 years old, I used to like t..."
business,004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,25,over_info,28,continuation_event,Answer,Substantive,155.94000000000005,164.44000000000005,38.17830398647675,And you can last words of advice to other female founders or to other people and listeners. Sure.
business,004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,25,over_info,29,continuation_event,Assert / Elaborate,Substantive,165.2888952654232,185.66586800573896,0.8488952654231525,"I mean , I think you always give the advice that you need, right? Don't be afraid to reach out and ask for help to anyone. You know, there's a lot of really great things. There'..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,4,over_info,5,continuation_event,Assert / Elaborate,Substantive,0.47999999999998977,35.75999999999999,0.47999999999998977,"I guess one side of it is that you've got with pressure, when that converts to stress, there's some level of identification with the pressure so we feel identified with it and b..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,4,over_info,7,continuation_event,Assert / Elaborate,Substantive,99.58284436493739,138.09681574239713,11.982844364937392,"just add one thing about that, I think that the relationship between control and pressure is interesting and important because we don't necessarily have control over pressure, s..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,4,over_info,8,continuation_event,Assert / Elaborate,Substantive,151.61,190.90999999999997,13.513184257602887,". It's fantastic isn't it, when you start to take the layers off and you start to just unfold what things are in our lives that keep us limited and fearful and unable to cope or..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,25,over_info,26,continuation_event,Assert / Elaborate,Substantive,6.635433580579729,187.72543358057987,6.635433580579729,"'s really beautiful. Again, gosh all these beautiful perspectives, it's just so lovely isn't it? I think that that's true. It's like the more that we build the ground within whe..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,27,over_info,28,continuation_event,Assert / Elaborate,Substantive,2.4617344362429776,25.761036577401,2.4617344362429776,". I think that definitely our audience will agree with that because I know that many of them speak about being overwhelmed, frustrated and one of the things is not being able to..."
business,007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,27,over_info,29,exit_marker,Stonewalling / Non-Response,Disrupted,27.633716989772438,27.963716989772138,1.8726804123714373,I'm moving around. Trying
business,008__Facing_the_Reality_of_Food_Insecurity,25,over_info,26,repair_event,Clarification Request (Specific),Substantive,6.246543665436775,29.326543665436702,6.246543665436775,", I love that saying that food is medicine. And in fact, at Thalmas Kitchen here, supported by harvesters, we've actually been experimenting on a small level with Truman Medical..."
business,008__Facing_the_Reality_of_Food_Insecurity,25,over_info,27,continuation_event,Assert / Elaborate,Substantive,60.53844738243947,150.19385864648598,31.21190371700277,? So that is absolutely what we are doing. And we have partnerships across our service area right now. And we've probably been doing this. We're going into our fourth year and t...
business,008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,46,over_info,48,continuation_event,Assert / Elaborate,Substantive,52.809999999999945,259.9399999999996,0.0,"what's interesting is, there's a program that I'm going to do that pushes undergraduate students to publish a book on a topic that they want and so I'm going to use this as an o..."
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,23,repair_event,Clarification Request (Specific),Substantive,1.099999999999909,7.099999999999909,1.099999999999909,". - Awesome. So I have a question, two questions. Maybe first question is how long are your blog"
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,24,continuation_event,Assert / Elaborate,Substantive,7.100000000000023,45.93999999999994,1.1368683772161603e-13,"posts? - So my blog posts, I try to make them at least 1500 words and I try to make sure that there's links in there and images and that I format it in a way where it's readable..."
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,25,continuation_event,Assert / Elaborate,Substantive,45.93999999999994,79.34000000000003,0.0,"quickly. - And we had talked about this in a pre-interview. Like when you're reading something. And this is why James Patterson, I can crank out so many books. Like his chapters..."
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,26,continuation_event,Assert / Elaborate,Substantive,80.22000000000003,132.05999999999995,0.8799999999999955,? - For sure. And what I will say though with that is I'm like a huge like firm believer and sticking true to like what works for you and like making sure it's aligned. But I do...
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,27,repair_event,Clarification Request (Specific),Substantive,140.83516460283897,159.95405617638164,8.775164602839027,So ideas for blog post. I know in your outline there and say come up with a topic. So do you come up with a topic first or do you have a life experience or a moment first and th...
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,22,over_info,28,continuation_event,Assert / Elaborate,Disrupted,168.93843400447417,194.09358687546614,8.984377828092533,"do? - I do both. And I'm the type of person. Like when I'm like super gung ho, like blogging especially when I first started, I was like turning everything into content. Like I..."
business,011__Affordable_Housing__Covid-19_Evictions__and_Social_Leadership,48,over_info,49,continuation_event,Assert / Elaborate,Substantive,0.001,158.77999999999975,0.0,"begin? This is actually a question that in the Kansas City Tomorrow Leadership Program sponsored by the Civic Council, Mary Birch, Michael Facilitator, and I address this as a c..."
