episode_id,turn_count,total_assumptions,accommodated,dark_matter,conversion_rate,mean_lag,num_lags
0003_-_The_Game_Chat_with_Ruth_and_Allen,23,57,44,13,77.19,0.0,0
0004__Bhang___Jamie_Pearson,14,15,12,3,80.0,0.0,0
0007__Talaria_Transportation___Ari_Raptis,31,70,58,12,82.86,0.0,0
0008__Jay_Rush___Moose_Labs___MouthPeace,37,42,33,9,78.57,0.0,0
001-LIFE_IN_RHYTHM___THE_RHYTHM_OF_PRAYER,25,64,58,6,90.62,0.0,0
001._Magic_Dust,3,3,3,0,100.0,0.0,0
0012_-_Unboxing_Spiel_with_Sane_Whelan_-_Part_2,15,24,17,7,70.83,0.0,0
0012__Joe_Caltabiano,21,44,37,7,84.09,0.0,0
0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,55,136,88,48,64.71,0.0,0
0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF_2,55,125,85,40,68.0,0.0,0
001_How_Can_I_Help_My_Children_Gain_their_own_Testimony,25,71,66,5,92.96,0.0,0
001_MLR_040_The_Perfectionists_Productivity_Hack,3,3,3,0,100.0,0.0,0
001__Larry_Levine_-_Selling_From_The_Heart,35,102,86,16,84.31,0.0,0
001____From_Dyslexia_To_Reading_800_Words_Per_Minute___Cliff_at_Speechify,89,140,98,42,70.0,0.0,0
002._Buy_Buy_Buy,125,167,108,59,64.67,0.0,0
002_-_God_s_Call_Is_Winistry,2,1,1,0,100.0,0.0,0
002_Adriana_Machado__Founder_at_Briyah_Institute,29,54,48,6,88.89,0.0,0
003_-_More_Than_An_Email,65,91,77,14,84.62,0.0,0
003_Finding_purpose_and_discovering_your_unique_path,55,151,143,8,94.7,0.0,0
003_Living_a__Let_it_Go__Life__Even_as_a_Go-Getter__with_Stephanie_O_Hara,23,27,20,7,74.07,0.0,0
003__Coaching_Financial_Wellness_During_Times_of_Volatility,24,67,67,0,100.0,0.0,0
004-_MEMORY_LANE_WITH_DAD,17,52,45,7,86.54,0.0,0
004_-_Denym_Bird,33,82,56,26,68.29,0.0,0
004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,111,231,154,77,66.67,0.0,0
004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo_2,111,197,139,58,70.56,0.0,0
004_Jodi_Daniels_On_Marketing_Lists_And_Business_Cards__Trailer,17,9,9,0,100.0,0.0,0
004_Marriage_Communication_101__Opposites_Attract_and_Annoy__with_Brian_Baker,27,47,40,7,85.11,0.0,0
004_Peggy_Moore__CEO_of_Love_s_Oven,30,80,52,28,65.0,0.0,0
004_Renee_Douthat__the_CEO___Founder_of_Hatch_Compliance,31,37,19,18,51.35,0.0,0
004_The_Theory_Behind_Marketing_-_Buck_Wise,56,95,65,30,68.42,0.0,0
004__Essentials_To_Start_Selling,31,87,66,21,75.86,0.0,0
004__Finding_Funding_In_Volatile_Times_With_Dr._Ben_Zeskind,35,80,67,13,83.75,0.0,0
004___Transcending_the_Human_Digital_Experience,31,95,88,7,92.63,0.0,0
005_-_Body_Shaming___Body_Confidence,59,171,151,20,88.3,0.0,0
005_-_Women_Sparking_Impact__Elaine_Rasmussen__CEO_of_Social_Impact_Strategies_Group___ConnectUP____Being_a_Badass_Black_Woman_Bridging_Inclusive_Entrepreneuria,25,46,38,8,82.61,0.0,0
005_Humanizing_You_Real_Estate_Brand,28,94,80,14,85.11,0.0,0
005_Leticia_Ramos-Pollock__Co-Founder_of_Panther_Coffee,40,84,56,28,66.67,0.0,0
005__How_to_Start_a_Good_Catholic_Library,79,281,244,37,86.83,0.0,0
005__Tips_for_Virtual_Shortlist_Presentations,31,70,54,16,77.14,0.0,0
006._How_I_Pivoted_My_Business__Holly_Bertone__COVID-19_Series,23,41,30,11,73.17,0.0,0
006_-_Greg_Bielecki__La_Salle_College_High_School_2,65,145,107,38,73.79,0.0,0
006_Motivation___Yo-Yo_Dieting,39,117,102,15,87.18,0.0,0
006__Breaking_Limiting_Beliefs_to_Reach_Your_Highest_Potential_with_Jen_Groover,57,102,73,29,71.57,0.0,0
006__Youtube_101__with_Grant_Long,113,248,176,72,70.97,0.0,0
006___Suffering__World_Events__and_the_End_Times,41,73,65,8,89.04,0.0,0
007_-_How_To_Thrive_Under_Pressure__Part_1_of_3,60,158,147,11,93.04,0.0,0
007__Chris_He_-_Co-Founder_and_CTO_of_Bravado,22,38,29,9,76.32,0.0,0
007__Wartime_Vs_Peacetime_CEO,45,110,82,28,74.55,0.0,0
