category,episode_file,turn_list_index,turn_idx,label,turn_type_label,conversation_move_label,prev_turn_text,current_turn_text,auditor_label,is_correct,notes
business,01___A_Conversation_on_Mental_Health_with_Bruce_Croxon.json,43,43,Relation,Substantive,Assert / Elaborate,? So you've been surprised by the empathy,"? The amount of empathy and how deep it is because I think sometimes, at least I can speak for myself, I spent most of my life, I can admit to this now, I spent most of my life coming from a place of control, coming from a place where my self-worth came from b",,,
commentary,47-_We_ll_Be_Back_on_August_11th_2.json,71,71,Relation,Substantive,Clarification Request (Specific),"'s cool, though . Yeah. Yeah. I don't know. I... I also... I don't know. I hope this... [laughs] This was comforting maybe to some people, or I don't know, I was worried that people wouldn't want to hear this in a way, you know",? Because we're two white girls ?,,,
sports,8._CHRIS_COTILLO_INTERVIEW__RED_SOX_REPORTER_WHO_RAISED__57_000_FOR_CHARITY.json,20,20,Relation,Substantive,Clarification Request (Specific),into it you know he um he got for example he got some backlash from the uh comments he made on the podcast about saying that you know things would be mandatory um whether that it shouldn't be mandatory for players to play which is a point I totally agree with ,his comments on when you asked him about how his life when his wife responds to different comments on her tweets he's like well she's a big girl she can hold her own I thought that was pretty funny but especially his comments on the concerns of starting the ML,,,
political,43159.json,29,29,Relation,Substantive,Assert / Elaborate,"So is your money on the idea that we're going to have a POTUS1 candidate, the candidate who says this will be the first thing I do and that the elements are just as fundamental as HR1 was?","That's my hope. And I think it's very doable. You said a moment ago that you're Generally optimistic about things. I am as well. And I'll tie it back to a story I tell a lot. You've heard me say this, because when I came and marched with you in New Hampshire a",,,
sports,All_Things_Kings_-_Episode_1.json,34,34,Relation,Substantive,Assert / Elaborate,"a bit scary on the old track . He just goes so hard. Pretty soon he's in training, Matt. Take a chilp. We had that mini scratch match down at the bottom . Oh, Matt, he just couldn't stop. I reckon he crunched a few blokes down there. He did. Had to chase","the chilp out. Gray, bloke. But just needs to work it out. Benazia is a big ear. But yeah, so we got a fair few guys that have come out. As you said, all the old boys come back out. They'll be looking pretty good. And Berg's been doing his extras. So he was lo",,,
news,Episode_1__Effects_of_Corona_Virus_and_Racism_in_our_Nation.json,5,5,Relation,Substantive,Assert / Elaborate,. - But I'm glad,"he's home now though, right? - Yeah, he 's home now. I think he's going back out tonight though, 'cause they're gonna go-- - How long do you think he's gonna stay? - What do you mean, like-- - Is he gonna keep serving? Is he gonna keep-- - I don't know. I mean",,,
sports,64._Throwback_Thursday._Rikishi_v_Val_Venis._Fully_Loaded_2000.json,102,102,Relation,Substantive,Topic Shift,". - If Yoko Zuna did that, now he would destroy people.","- Oh, here we go. We're gonna get a last little. Now, here's another O to his uncle, Yoko Zuna, or as they call him, Uncle Rocco. Here we go.",,,
sports,Careers_In_Sport_Podcast_-_Lee_Hemmings_-_Managing_Director_-_Player_Lens_2.json,46,46,Relation,Substantive,Assert / Elaborate,", number two, number two would be Boris Johnson. I'm not that's not necessarily saying I'm a big fan but I think in this particular moment in time when we're all in lockdown or wondering what's going on. I think there's a lot of information we don't know and m",the government. Fantastic. Inside track there on what's happening in terms of your career so far it's really touched upon lots of different areas from your banking towards the NBA and football business to what you've really developed with power lens but what's,,,
business,008_-_The_Best_Brands_in_2020_and_Email_Hacks.json,66,66,Relation,Substantive,Assert / Elaborate,"Yeah, that's something that I I'm still a bit torn on because sometimes they're just emails where I have to process them a couple of times. It's very rare. But just like, I don't like this absolute rule of never read your emails, like more than twice or more t","me because we have a specific time. And if the specific time is longer, let's say it's 60 minutes, then you should consider certain emails to kind of be more long for one more and they need to be synthesized in order to understand them correctly. So I kind of ",,,
commentary,27__Ramadan__Nick_Cage_as_Joe_Exotic__Carole_Baskin_pranked____Craig_McFarland_2.json,56,56,Relation,Substantive,Assert / Elaborate,doing some stuff on like Minecraft. I think some people have done stuff on Animal Crossing. M,"m hmm. Yeah. And then the newest episode of John presents, John presents, he's like some good news show. He also does like a graduation for them. But we wanted to highlight one individual named Craig McFarland. Yeah. He's a Filipino American young man who is f",,,
